#,Material,Family,E(V/cm),T_onset(K),r_fitted(um),lambda(V·um),Vc(V),k_soft,Ea(eV),sigma_0(S/m),r_calc(um),T_pred(K),T_error%,DOI,Phenomenon
1,"(La,Ta)-TiO2",rutile,300.0,1373.0,13.0,3900.0,0.39,0.25,1.5,1000.0,13.0,1372.9999999999998,1.6560355094190245e-14,10.1007/s10854-024-12518-3,flash_sintering
2,(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,pyrochlore,150.0,1323.0,22.5,3375.0,0.3375,0.25,0.5,1.0,22.5,1323.0,0.0,10.1111/jace.19505,flash_sintering
3,(Nb1/3Ta1/3Ti1/3)N,nitride,32.0,1123.0,339.3,10857.6,1.08576,0.82,0.2,100.0,339.3,1123.0,0.0,10.1111/jace.17226,flash_sintering
4,(ZrO₂)₀.₈(CeO₂)₀.₂,fluorite,250.0,1473.0,10.4,2600.0,0.26,0.26,0.8,10000.0,10.4,1473.0,0.0,10.1111/jace.18426,flash_sintering
5,3YSZ,fluorite,120.0,1123.0,35.2,4224.0,0.4224,0.26,1.0,25000.0,35.375,1111.1497389279232,1.0552325086444183,10.1111/j.1551-2916.2010.04089.x,flash_sintering
6,3YSZ-Al₂O₃ (50:50),composite,150.0,1573.0,15.5,2325.0,0.2325,0.26,0.8,10000.0,15.5,1573.0,0.0,10.1016/j.jeurceramsoc.2014.04.043,flash_sintering
7,3YSZ-Sinterforging (5 MPa),fluorite,100.0,1148.0,38.6,3860.0,0.386,0.26,1.0,500000.0,38.6,1148.0,0.0,10.1016/j.jeurceramsoc.2012.02.030,flash_sintering
8,8YSZ,fluorite,100.0,1073.0,41.3,4130.0,0.41300000000000003,0.25,0.85,10000.0,42.75,1088.883348494027,1.4802747897508766,10.1111/jace.18804,flash_sintering
9,Al₂O₃-3YSZ (50:50),oxide_composite,150.0,1348.0,24.1,3615.0,0.36150000000000004,0.28,1.0,7000.0,24.1,1348.0000000000002,1.6867483341486063e-14,10.1111/jace.14178,flash_sintering
10,GDC10,fluorite,50.0,1373.0,77.8,3890.0,0.389,0.25,0.8,100.0,77.8,1373.0,0.0,10.1111/jace.17847,flash_sintering
11,Gd:Sm-Pr-CeO2,fluorite,50.0,998.0,85.3,4265.0,0.42650000000000005,0.25,0.6,200.0,85.3,998.0,0.0,10.3390/ma12081218,flash_sintering
12,MgAl2O4,spinel,750.0,673.0,5.7,4275.0,0.42750000000000005,0.29,0.5,1000.0,5.65,673.4289852187255,0.0637422316085481,10.1016/j.jeurceramsoc.2019.03.005,flash_sintering
13,MgAl2O4,spinel,1000.0,673.0,4.2,4200.0,0.42000000000000004,0.29,0.5,1000.0,4.2375,672.5738997346748,0.0633135609695696,10.1016/j.jeurceramsoc.2019.03.005,flash_sintering
14,MgO-doped Al₂O₃,corundum,1000.0,1533.0,4.0,4000.0,0.4,0.3,0.7,200.0,4.0,1533.0000000000002,1.4831942298971432e-14,10.1016/j.jeurceramsoc.2011.07.004,flash_sintering
15,NaNbO3,perovskite,400.0,1283.0,7.2,2880.0,0.28800000000000003,0.2,0.8,1000.0,7.275,1222.8856811109677,4.685449640610472,10.1016/j.matlet.2018.09.167,flash_sintering
16,NaNbO3,perovskite,500.0,1249.0,5.7,2850.0,0.28500000000000003,0.2,0.8,1000.0,5.82,1221.5185341575766,2.2002774893853805,10.1016/j.matlet.2018.09.167,flash_sintering
17,NaNbO3,perovskite,600.0,1189.0,4.9,2940.0,0.29400000000000004,0.2,0.8,1000.0,4.85,1220.4037608625083,2.641190989277421,10.1016/j.matlet.2018.09.167,flash_sintering
18,NaNbO3,perovskite,700.0,1135.0,4.3,3010.0,0.301,0.2,0.8,1000.0,4.1571428571428575,1219.462819666801,7.441658120422987,10.1016/j.matlet.2018.09.167,flash_sintering
19,Ni,FCC,2.0,1273.0,500.0,1000.0,0.1,0.73,0.3,100000.0,500.0,1273.0,0.0,10.1111/jace.19735,flash_sintering
20,Porcelain Stoneware,glass_ceramic,500.0,1173.0,4.1,2050.0,0.20500000000000002,0.21,0.84,1000.0,3.94,1248.3941006238315,6.427459558723912,10.1111/jace.15162,flash_sintering
21,Porcelain Stoneware,glass_ceramic,450.0,1223.0,4.4,1980.0,0.198,0.21,0.84,1000.0,4.377777777777778,1249.035842138231,2.128850542782577,10.1111/jace.15162,flash_sintering
